audio_file,text_file,audio_length,transcription_time(s)
10_20_2023.m4a,10_20_2023.txt,99m 35s,290.03976345062256
10_06_2023.m4a,10_06_2023.txt,114m 24s,332.78412795066833
09_22_2023.m4a,09_22_2023.txt,113m 15s,356.51369071006775
09_29_2023.m4a,09_29_2023.txt,120m 55s,366.16853857040405
10_12_2023.m4a,10_12_2023.txt,61m 41s,179.4060981273651
