audio_file,text_file,audio_length,transcription_time(s)
10_20_2023.m4a,10_20_2023.txt,99m 35s,168.97095394134521
10_06_2023.m4a,10_06_2023.txt,114m 24s,206.89702653884888
09_22_2023.m4a,09_22_2023.txt,113m 15s,240.72710037231445
09_29_2023.m4a,09_29_2023.txt,120m 55s,229.91574883460999
10_12_2023.m4a,10_12_2023.txt,61m 41s,101.71139335632324
